,City,Cloudiness,Humidity,Latitude,Temp,Wind Speed
0,Punta Arenas,75,75,-53.16,42.8,10.29
1,Conversion,92,98,15.9,69.59,3.06
2,Gazanjyk,0,35,39.24,63.83,4.52
3,Avarua,20,74,-21.21,80.6,8.05
4,Ushuaia,75,75,-54.81,41.0,17.22
5,Busselton,80,100,-33.64,52.75,8.19
6,Abatskoye,88,92,56.29,56.54,17.83
7,Fort Nelson,90,93,58.81,55.4,3.36
8,Butaritari,68,100,3.07,85.16,6.76
9,Dandong,44,76,40.12,72.83,3.51
10,Upernavik,92,99,72.79,39.52,25.64
11,Ventanas,0,37,-32.74,71.6,6.93
12,Kaitangata,0,74,-46.28,49.69,21.61
13,Santa Vitoria do Palmar,0,81,-33.52,45.2,20.29
14,Tasiilaq,88,100,65.61,41.87,0.04
15,Port Elizabeth,1,64,39.31,78.98,8.05
16,Chokurdakh,92,94,70.62,44.03,8.43
17,Bluff,44,71,-23.58,68.69,4.52
18,Eydhafushi,88,100,5.1,80.57,13.8
19,Dzerzhinsk,0,82,56.24,60.8,8.41
20,Hermanus,92,99,-34.42,45.29,11.79
21,Hilo,90,96,19.71,75.02,4.7
22,Puerto Ayora,75,61,-0.74,78.8,14.99
23,Calatayud,40,73,41.35,71.6,4.7
24,Haines Junction,76,40,60.75,57.26,2.51
25,Panguna,0,84,-6.32,81.92,1.16
26,Severo-Kurilsk,56,100,50.68,49.42,4.72
27,Iqaluit,75,81,63.75,44.6,2.93
28,Hobart,75,57,-42.88,48.2,16.11
29,Sitka,36,40,37.17,93.62,15.48
30,Yellowknife,75,71,62.45,51.8,11.41
31,Rikitea,0,100,-23.12,72.83,13.8
32,Hofn,48,100,64.25,44.39,9.66
33,Vaini,92,98,15.34,67.43,6.42
34,Coquimbo,0,71,-29.95,57.2,9.17
35,Jamestown,8,64,-33.21,52.85,3.96
36,Mikkeli,90,93,61.69,55.4,4.74
37,Sangar,92,62,63.92,52.48,4.16
38,Geraldton,90,82,49.72,66.2,5.82
39,Longyearbyen,40,69,78.22,37.4,14.99
40,Broome,0,87,52.47,51.44,3.36
41,Zvishavane,0,73,-20.32,52.22,2.62
42,Hithadhoo,36,100,-0.6,80.3,7.43
43,Barrow,0,37,-38.31,50.95,4.38
44,Jihlava,92,87,49.4,60.8,9.17
